Name;Company;Info;Link;Date
Python Developer;ИЦ «Ай-Теко»;Бэкенд, Средний (Middle) • Python • Django • SQL • Москва • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000086299;30 марта
Python Backend Developer;Fulex.pro;Бэкенд, Средний (Middle) • Python • Python • PostgreSQL • SQLalchemy • gRPC • Linux • FastAPI • Redis • Москва • Полный рабочий день;https://career.habr.com/vacancies/1000101068;18 марта
Python developer (Big Data);МТС;Бэкенд, Старший (Senior) • Python • Django • Flask • Celery • Москва • Полный рабочий день;https://career.habr.com/vacancies/1000096518;1 апреля
Python developer;BSL;Бэкенд, Средний (Middle) • Python • PostgreSQL • Linux • Nginx • Минск • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000094379;4 апреля
Python developer (Dialog Policy);SberDevices;Бэкенд, Старший (Senior) • Python • Высоконагруженные системы • Apache Kafka • Москва • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000094946;2 апреля
Python developer (Речевые технологии);SberDevices;Бэкенд, Старший (Senior) • Python • Высоконагруженные системы • Москва • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000094948;2 апреля
Python Developer (Middle);БАНК УРАЛСИБ;Бэкенд, Средний (Middle) • Python • SQL • T-SQL • Москва • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000092859;31 марта
SDET Python (KLDFS);Лаборатория Касперского;Тестирование • Python • Linux • Windows Azure • Москва;https://career.habr.com/vacancies/1000094137;3 апреля
Python developer;Crezu;Бэкенд, Средний (Middle) • Python • Django • Redis • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000088697;17 марта
Python developer;Kokoc Group;Бэкенд, Средний (Middle) • Python • PostgreSQL • Django • Redis • Docker • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000101971;4 апреля
Python разработчик;Монополия;Бэкенд, Старший (Senior) • Python • SQL • PostgreSQL • RabbitMQ • Git • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000100503;11 марта
Python Developer (Django);B2Broker;Бэкенд, Средний (Middle) • Python • Django • PostgreSQL • SOLID • Москва • Санкт-Петербург • Полный рабочий день;https://career.habr.com/vacancies/1000101986;31 марта
Разработчик python;Forecsys;Бэкенд, Средний (Middle) • Базы данных • Python • Django • Linux • SQL • Pandas • C# • Москва • Полный рабочий день;https://career.habr.com/vacancies/1000101194;21 марта
Разработчик Python ;ЭТП ГПБ;Бэкенд, Средний (Middle) • Python • PostgreSQL • Kubernetes • MongoDB • RabbitMQ • Москва • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000102032;1 апреля
Разработчик Python;Bell Integrator;Разработка ПО, Средний (Middle) • Python • Django • Высоконагруженные системы • Docker • Москва • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000096056;1 апреля
Python разработчик;Центр Финансовых Технологий;Бэкенд, Средний (Middle) • Python • Git • SQL • PostgreSQL • Kubernetes • Алматы • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000101224;22 марта
Python Developer;NUTSon;Бэкенд, Старший (Senior) • Python • PostgreSQL • Linux • MongoDB • Docker • Москва • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000086477;4 апреля
Программист Python (удаленно);ПК «Энергосбережение»;Бэкенд, Средний (Middle) • Python • SQL • Git • PostgreSQL • Linux • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000078346;15 марта
Python backend developer;KK;Бэкенд, Средний (Middle) • Python • Django • Git • PostgreSQL • Linux • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000098379;22 марта
Developer Python;Bell Integrator;Разработка ПО, Старший (Senior) • Java • Python • Docker • Jira • ELK Stack • Kubernetes • Ростов-на-Дону • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000102066;4 апреля
Python разработчик;Geekfactor;Бэкенд, Старший (Senior) • Python • Django • Flask • PostgreSQL • TeamCity • Sentry • Москва • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000100891;15 марта
Developer Python (KATA);Лаборатория Касперского;Разработка ПО • Python • Linux • Москва;https://career.habr.com/vacancies/1000100946;30 марта
Python developer ;United Credit Bureau;Бэкенд, Средний (Middle) • Python • Asyncio • PostgreSQL • Docker • FastAPI • Django • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000100774;14 марта
Разработчик Python;Tender.Pro;Бэкенд, Средний (Middle) • Python • PHP • PostgreSQL • CSS • HTML • Vue.js • Docker • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000102201;5 апреля
Руководитель разработки на Python ;НИЦ Стратком;Разработка ПО, Средний (Middle) • Git • Python • Docker • Linux • PostgreSQL • MongoDB • Москва • Королев • Полный рабочий день;https://career.habr.com/vacancies/1000101106;1 апреля
Разработчик Python (Django);Совкомбанк Технологии;Бэкенд, Средний (Middle) • Python • SQL • Django • Git • Пермь • Полный рабочий день;https://career.habr.com/vacancies/1000098258;1 апреля
Python-разработчик;LIFE PAY;Бэкенд, Старший (Senior) • Python • Docker • Git • REST • SOAP • Kubernetes • Apache Kafka • Асинхронное программирование • Шаблон проектирования • Москва • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000101619;25 марта
Python-разработчик (CXHub);VK;Бэкенд, Средний (Middle) • Python • SQL • PostgreSQL • Москва • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000099594;31 марта
Python (Django) Developer удалённо ;Группа «Самолет»;Бэкенд, Средний (Middle) • Python • Django • PostgreSQL • Москва • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000102057;1 апреля
Python/Django удалённый разработчик;Lmarkt;Бэкенд, Средний (Middle) • Python • Django • PostgreSQL • Docker • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000059989;29 марта
BackEnd Lead Python;СберЗвук;Бэкенд, Ведущий (Lead) • Python • Django • MongoDB • PostgreSQL • Москва • Полный рабочий день;https://career.habr.com/vacancies/1000100954;16 марта
Python/Django Fullstack developer;Ivelum;Разработка ПО, Средний (Middle) • Python • Django • React • GraphQL • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000098685;5 апреля
Python Developer;Portal Bilet;Бэкенд, Средний (Middle) • Python • PostgreSQL • AIOHTTP • Django • Asyncio • Redis • MongoDB • Git • Docker • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000099909;18 марта
Python разработчик (удаленно);РБК;Бэкенд, Старший (Senior) • Python • Docker • Django • Flask • FastAPI • Москва • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000100958;30 марта
Python-разработчик (Речевая аналитика);SberDevices;Бэкенд, Средний (Middle) • Python • Django • PostgreSQL • Docker • Git • Москва • Санкт-Петербург • Полный рабочий день;https://career.habr.com/vacancies/1000094905;2 апреля
C++/Python разработчик в Браузер;VK;Бэкенд, Средний (Middle) • C++ • Python • Москва • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000099872;30 марта
Python-разработчик в команду Compute;Selectel;Бэкенд, Средний (Middle) • Python • Flask • PostgreSQL • Linux • Openstack • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000089277;21 марта
Backend разработчик Web-приложений Python;АЙБИМ;Бэкенд, Средний (Middle) • Python • Jira • Москва • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000083820;30 марта
Python разработчик (Remote);Bell Integrator;Бэкенд, Старший (Senior) • Python • SQL • Kubernetes • Apache Kafka • MongoDB • ELK Stack • AWS • GitLab • Москва • Санкт-Петербург • Нижний Новгород • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000102013;1 апреля
Python developer (Middle);.White Code;Бэкенд, Средний (Middle) • Python • Django • Redis • Git • PostgreSQL • RabbitMQ • Apache Kafka • Высоконагруженные системы • Санкт-Петербург • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000082657;1 апреля
Разработчик Python/Django;JustWork;Бэкенд, Средний (Middle) • Python • Django • Docker • MySQL • ООП • Git • Linux • Redis • Nginx • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000066133;22 марта
Python-разработчик (направление B2B2C);SberDevices;Бэкенд, Старший (Senior) • Python • Flask • PostgreSQL • Docker • Elasticsearch • Москва • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000094907;2 апреля
Python разработчик в команду платформы PaaS;СберМаркет;Бэкенд • Python • Можно удаленно;https://career.habr.com/vacancies/1000098366;18 марта
Senior Python Developer;Intch;Бэкенд, Старший (Senior) • Django • Python • SQL • PostgreSQL • Celery • AWS • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000101814;5 апреля
Программист / Разработчик Python/Django (middle);Catapulto;Бэкенд, Средний (Middle) • Python • Высоконагруженные системы • Django • Git • Linux • REST • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000079501;11 марта
Python Fullstack Developer;Coleman Group;Разработка ПО, Средний (Middle) • Python • JavaScript • HTML • CSS • Vue.js • Linux • Москва • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000102244;5 апреля
Data Engineer cо знанием Python;QIWI;Бэкенд, Средний (Middle) • Python • Apache Kafka • Apache Airflow • ETL • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000102222;5 апреля
Python-разработчик в команду Compute;Selectel;Бэкенд, Средний (Middle) • Python • Git • Docker • PostgreSQL • Flask • Openstack • Москва • Воронеж • Новосибирск • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000096881;4 апреля
Python разработчик / Middle ;PROMO;Бэкенд, Средний (Middle) • Python • Jenkins • Circle CI • GitLab • CI/CD • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000098210;16 марта
Senior Python engineer;Coins.ph;Бэкенд, Старший (Senior) • Python • Golang • Redis • Kubernetes • Docker • PostgreSQL • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000095407;15 марта
Middle/Senior Python Developer;Admitad;Бэкенд, Старший (Senior) • Python • Django • MySQL • RabbitMQ • SOLID • PostgreSQL • Москва • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000102049;1 апреля
Middle Python-разработчик;АЭРОДИСК;Разработка ПО, Средний (Middle) • Linux • Python • Git • JavaScript • Flask • Django • Москва • Полный рабочий день;https://career.habr.com/vacancies/1000101131;21 марта
Ведущий Python (Django) Developer (удалённо);Группа «Самолет»;Бэкенд, Старший (Senior) • Python • Django • PostgreSQL • Москва • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000102059;1 апреля
Разработчик Python, ETL;deeplay;Бэкенд, Старший (Senior) • Python • SQL • Docker • Pandas • ClickHouse • Kubernetes • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000101664;28 марта
Python Developer Middle/Senior;OKPixels;Бэкенд, Средний (Middle) • Python • Docker • Flask • PostgreSQL • RabbitMQ • Django • FastAPI • Можно удаленно;https://career.habr.com/vacancies/1000086490;17 марта
Python developer (middle);Инсис;Бэкенд, Средний (Middle) • Python • Django • PostgreSQL • Docker • FastAPI • Apache Kafka • Екатеринбург • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000090782;5 апреля
Senior system developer (C++/Python);Antal;Бэкенд, Средний (Middle) • SQL • Python • Git • Linux • Москва • Полный рабочий день;https://career.habr.com/vacancies/1000101045;17 марта
Python Backend разработчик;Stellar 2H Group;Бэкенд, Средний (Middle) • Python • FastAPI • PostgreSQL • Git • Linux • Docker • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000093439;22 марта
Python Developer Senior/TeamLead;Easy Development;Бэкенд, Старший (Senior) • Python • Django • ООП • Flask • Высоконагруженные системы • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000084163;18 марта
Python-разработчик в команду Дисков и Бэкапов;Selectel;Бэкенд, Средний (Middle) • Python • Git • Openstack • Docker • Санкт-Петербург • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000092714;21 марта
Python Web Developer (Релокация в Армению);FinExecutive;Бэкенд, Средний (Middle) • Python • MySQL • PostgreSQL • Redis • Git • Москва • Санкт-Петербург • Полный рабочий день;https://career.habr.com/vacancies/1000099638;28 марта
Team lead (Python/Django);ЭТП ГПБ;Разработка ПО, Ведущий (Lead) • Python • Django • REST • PostgreSQL • React Native • DevOps • RabbitMQ • JavaScript • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000099940;10 марта
Python developer middle+;Drone selfie;Бэкенд, Средний (Middle) • Git • PostgreSQL • Docker • Python • Linux • Nginx • AWS • FastAPI • Flask • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000100998;17 марта
Наставник на курс «Python-разработчик»;Яндекс Практикум;Бэкенд, Средний (Middle) • Python • Django • Docker • SQL • Git • Москва • Неполный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000059643;31 марта
Python (Django) Developer (Team Lead) Удаленно;Группа «Самолет»;Бэкенд, Старший (Senior) • Python • Django • PostgreSQL • Подбор команды • Москва • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000102234;5 апреля
Python developer (Senior);.White Code;Бэкенд, Старший (Senior) • Python • Django • PostgreSQL • Redis • Высоконагруженные системы • RabbitMQ • Apache Kafka • ClickHouse • Elasticsearch • Санкт-Петербург • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000082651;30 марта
Automation QA (Python) relocate ;Napoleon it;Тестирование, Старший (Senior) • Python • SQL • Нагрузочное тестирование • Bash • Linux • Git • Docker • Санкт-Петербург • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000102012;1 апреля
Senior Python Developer ;Mandarin;Бэкенд, Старший (Senior) • Python • PostgreSQL • Django • Docker • Redis • MySQL • Linux • RabbitMQ • Можно удаленно;https://career.habr.com/vacancies/1000099728;4 апреля
Python-разработчик (SmartApps);SberDevices;Бэкенд, Старший (Senior) • Python • Django • PostgreSQL • Docker • Kubernetes • Высоконагруженные системы • Git • Москва • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000094944;2 апреля
SDET Python (Kaspersky Security для виртуальных сред Легкий агент);Лаборатория Касперского;Тестирование • Python • Linux • Москва;https://career.habr.com/vacancies/1000096640;2 апреля
Senior Python Developer;CV Recruitment;Бэкенд, Старший (Senior) • Python • Высоконагруженные системы • Алгоритмы и структуры данных • AWS • Асинхронное программирование • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000101794;29 марта
QA Engineer (Python);МТС;Тестирование, Старший (Senior) • Python • Selenium • Apache Kafka • Kubernetes • Docker • Git • PostgreSQL • Высоконагруженные системы • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000098280;1 апреля
ML разработчик (Python/C++);УГМК-Телеком;Разработка ПО, Средний (Middle) • Python • Linux • Git • Docker • PostgreSQL • RabbitMQ • Высоконагруженные системы • Redis • ООП • Екатеринбург • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000101417;24 марта
Python-разработчик (Intelligent Search);SberDevices;Бэкенд, Старший (Senior) • Python • Django • PostgreSQL • Docker • Elasticsearch • Apache Kafka • Kubernetes • Git • Москва • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000094943;2 апреля
"Backend / Бэкэнд (python, DynamoDB; senior/mid; удаленно; компания в США)";Pioneers Education 🇺🇦;Бэкенд, Старший (Senior) • Python • MongoDB • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000101989;2 апреля
Middle/Senior/Lead Python-разработчик;Контур;Бэкенд, Средний (Middle) • Python • PostgreSQL • Django • MongoDB • Redis • Kubernetes • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000100242;9 марта
Python-разработчик (Виртуальные персонажи);SberDevices;Бэкенд, Старший (Senior) • Python • Django • PostgreSQL • Docker • Git • RabbitMQ • RESTful API • Москва • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000094934;2 апреля
QA Automation (Python);Российский квантовый центр;Тестирование • Тестирование ПО • Автоматизация тестирования • Python • Linux • Selenium • Docker • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000076248;31 марта
Lead Python Developer (Remote/Moscow);NUTSon;Бэкенд, Ведущий (Lead) • Python • Docker • MongoDB • Kubernetes • Django • Высоконагруженные системы • Москва • Можно удаленно;https://career.habr.com/vacancies/1000085955;4 апреля
Senior Python Developer;Admitad;Бэкенд, Старший (Senior) • Python • Docker • Ansible • CI/CD • Asyncio • Асинхронное программирование • AIOHTTP • Москва • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000102046;1 апреля
Python Backend Developer / WEB - разработчик;Perfect Systems;Бэкенд, Средний (Middle) • Python • Linux • Git • Bash • SQL • ООП • FastAPI • Kubernetes • Docker • Kubernetes • Москва • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000083464;5 апреля
Senior Backend Developer (Python);QIWI;Бэкенд, Старший (Senior) • Python • Django • Docker • ООП • MySQL • SQL • Linux • Высоконагруженные системы • Kubernetes • Проектирование архитектуры приложений • Москва • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000101215;21 марта
Middle Backend Developer (Python);QIWI;Бэкенд, Средний (Middle) • Python • Docker • Django • Git • ООП • FastAPI • Оптимизация кода • Linux • Oracle • Kubernetes • PostgreSQL • API Интерфейсы • Москва • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000096566;21 марта
Python-разработчик Pre Middle / Middle;Интеллектуальная Транспортная Система;Бэкенд, Средний (Middle) • Python • Django • ООП • SQL • Git • PHP • С++ builder • .NET • Flask • Тюмень • Полный рабочий день;https://career.habr.com/vacancies/1000070222;22 марта
Senior Python Developer (Американский инвестфонд);FinDev;Бэкенд, Старший (Senior) • Python • Pandas • NumPy • AWS • CI/CD • GitLab • Flask • Английский язык • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000083857;17 марта
Software Engineer (Python/cloud) Релокация в Армению;FinExecutive;Бэкенд • Python • Облачные вычисления • NumPy • C++ • MySQL • AWS • API Интерфейсы • Москва • Санкт-Петербург • Полный рабочий день;https://career.habr.com/vacancies/1000100989;17 марта
Python/Golang developers to build analytics platform ;Sardina Systems;Бэкенд • Python • Django • Linux • Protobuf • MySQL • gRPC • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000096984;15 марта
Middle Python Developer со знанием CS:GO;ИП Бондаренко Ростислав Витальевич;Бэкенд, Средний (Middle) • Django • Python • Flask • MongoDB • Docker • Git • Google Cloud Platform • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000100269;29 марта
"Fullstack / Фуллстэк (python, react, senior/mid; удаленно; компания в США)";Pioneers Education 🇺🇦;Разработка ПО, Старший (Senior) • Python • Redis • AWS • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000101990;2 апреля
Senior Python Backend Developer / WEB - разработчик;Perfect Systems;Бэкенд, Старший (Senior) • Python • Linux • Git • Bash • SQL • ООП • FastAPI • Kubernetes • Docker • Москва • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000083466;5 апреля
Pуthon Back-end разработчик;СберКорус;Бэкенд • Python • Москва • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000100580;2 апреля
Главный аналитик по геоданным;Банк ПСБ;Аналитика, Средний (Middle) • Python • SQL • Москва • Полный рабочий день;https://career.habr.com/vacancies/1000100272;30 марта
Senior/Middle Data Scientist;Инжиниринговый центр МФТИ;Аналитика, Средний (Middle) • Python • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000101231;22 марта
Ведущий инженер-разработчик ПО;Bell Integrator;Бэкенд, Средний (Middle) • Python • Golang • Москва • Полный рабочий день;https://career.habr.com/vacancies/1000097095;29 марта
QA automation engineer;Coins.ph;Тестирование, Старший (Senior) • Python • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000095570;15 марта
Инженер по системам мониторинга;Т1 Интеграция;Администрирование • Zabbix • Python • Москва;https://career.habr.com/vacancies/1000099524;31 марта
Backend - разработчик Python (удаленная работа);BFG Group;Бэкенд, Средний (Middle) • AIOHTTP • PostgreSQL • Неполный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000101925;31 марта
QA Automation (Python);Bell Integrator;Тестирование, Средний (Middle) • SQL • Функциональное тестирование • Регрессионное тестирование • Ручное тестирование • Разработка тест-кейсов • Тестирование ПО • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000098712;30 марта
Python Developer / DevOps / Эксперт автоматизации SOC;Ростелеком;Бэкенд, Средний (Middle) • Python • Asyncio • Git • PostgreSQL • Redis • RESTful API • AIOHTTP • FastAPI • Linux • GitLab • CI/CD • Jenkins • Docker • Nginx • Apache Kafka • Elasticsearch • Ansible • Redis • Zabbix • Prometheus • Москва • Нижний Новгород • Полный рабочий день;https://career.habr.com/vacancies/1000101983;31 марта
Software Development Engineer in Test;Лаборатория Касперского;Разработка ПО • Linux • Python • Москва;https://career.habr.com/vacancies/1000101102;1 апреля
Software Development Engineer in Test (KasperskyOS);Лаборатория Касперского;Разработка ПО • Python • Linux • Москва;https://career.habr.com/vacancies/1000100848;5 апреля
Системный архитектор (информационная безопасность);ICL Services;Информационная безопасность, Ведущий (Lead) • SIEM • McAfee DLP • Linux • Python • Python • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000100513;1 апреля
Application Support Analyst;Лаборатория Касперского;Аналитика • JavaScript • Python • Техническая поддержка • Москва;https://career.habr.com/vacancies/1000102172;5 апреля
Data Engineer [МТС Медиа];МТС;Аналитика, Средний (Middle) • Python • SQL • Москва • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000101479;31 марта
Бэкенд-разработчик (Back-end developer);BIBINET.RU;Бэкенд, Младший (Junior) • Python • Golang • Красноярск • Полный рабочий день;https://career.habr.com/vacancies/1000085958;1 апреля
BI-разработчик;МТС;Аналитика, Средний (Middle) • SQL • Python • BI • Москва • Полный рабочий день;https://career.habr.com/vacancies/1000101487;31 марта
Data Engineer;Сбер;Аналитика, Средний (Middle) • SQL • Python • Apache Hadoop • Москва • Полный рабочий день;https://career.habr.com/vacancies/1000097705;4 апреля
Инженер Linux (мобильная Астра);Астра Группа компаний;Разработка ПО, Старший (Senior) • Python • Linux • Git • Bash • Москва • Полный рабочий день;https://career.habr.com/vacancies/1000100956;16 марта
Разработчик ELK;Sportmaster Lab;Бэкенд, Средний (Middle) • ELK Stack • Java • Python • Пенза • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000101570;1 апреля
ELK Программист;Sportmaster Lab;Бэкенд, Средний (Middle) • ELK Stack • Java • Python • Белгород • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000101572;1 апреля
Архитектор (проектный офис B2B);VK;Другое, Ведущий (Lead) • Linux • Python • Москва • Полный рабочий день;https://career.habr.com/vacancies/1000098071;30 марта
Team Lead разработки (Pyhton, BigData);МегаФон;Бэкенд, Ведущий (Lead) • Python • Большие данные • Москва • Полный рабочий день;https://career.habr.com/vacancies/1000094233;31 марта
Специалист по автоматизации тестирования, Логистика / Курьерская доставка;Ozon Tech;Тестирование, Средний (Middle) • Python • REST • SQL • Москва • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000100393;31 марта
Специалист по сетевой безопасности;Selectel;Информационная безопасность, Средний (Middle) • Python • Linux • Санкт-Петербург • Полный рабочий день;https://career.habr.com/vacancies/1000101914;30 марта
Go-разработчик: Managed Kubernetes;Сбер;Бэкенд, Старший (Senior) • Golang • Python • SQL • Kubernetes • Москва • Полный рабочий день;https://career.habr.com/vacancies/1000100927;30 марта
Go-разработчик: (Identity and Access Management);Сбер;Бэкенд, Старший (Senior) • Golang • SQL • Python • Kubernetes • Москва • Полный рабочий день;https://career.habr.com/vacancies/1000100926;30 марта
Разработчик на Pуthon Back-end;СберКорус;Бэкенд • Python • Pandas • NumPy • Санкт-Петербург • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000100638;2 апреля
Аналитик данных (MY.GAMES);VK;Аналитика, Старший (Senior) • SQL • Python • Минск • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000098266;1 апреля
Аналитик данных на проект по клиентскому опыту;Банк ПСБ;Аналитика, Средний (Middle) • SQL • Python • ETL • Москва • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000095992;4 апреля
Специалист по автоматизации тестирования в myTarget;VK;Тестирование • MySQL • Git • Python • Linux • Москва • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000097827;5 апреля
Middle Perl Developer ;RAIDIX;Разработка ПО, Средний (Middle) • Perl • Linux • Python • C • Санкт-Петербург • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000101057;1 апреля
Разработчик встроенного ПО ;Эдельвейс;Разработка ПО, Средний (Middle) • Linux • Python • Москва • Полный рабочий день;https://career.habr.com/vacancies/1000101818;31 марта
Инженер-программист (Devops);Эдельвейс;Администрирование, Средний (Middle) • Linux • Python • Москва • Полный рабочий день;https://career.habr.com/vacancies/1000101820;31 марта
