Name;Info;Link
Python Web Developer (Релокация в Армению);Бэкенд, Средний (Middle) • Python • MySQL • PostgreSQL • Redis • Git;https://career.habr.com/vacancies/1000099638
Senior Python Developer ;Бэкенд, Старший (Senior) • Python • PostgreSQL • Django • Docker • Redis • MySQL • Linux • RabbitMQ;https://career.habr.com/vacancies/1000099728
Python-разработчик (SmartApps);Бэкенд, Старший (Senior) • Python • Django • PostgreSQL • Docker • Kubernetes • Высоконагруженные системы • Git;https://career.habr.com/vacancies/1000094944
Наставник на курс «Python-разработчик»;Бэкенд, Средний (Middle) • Python • Django • Docker • SQL • Git;https://career.habr.com/vacancies/1000059643
Разработчик Python/Go (юнит FullBase);Бэкенд, Средний (Middle) • Python • MongoDB • RabbitMQ • Golang • Tornado Web Server • AIOHTTP;https://career.habr.com/vacancies/1000100421
SDET Python (Kaspersky Security для виртуальных сред Легкий агент);Тестирование • Python • Linux;https://career.habr.com/vacancies/1000096640
Senior Python Developer;Бэкенд, Старший (Senior) • Python • Высоконагруженные системы • Алгоритмы и структуры данных • AWS • Асинхронное программирование;https://career.habr.com/vacancies/1000101794
QA Engineer (Python);Тестирование, Старший (Senior) • Python • Selenium • Apache Kafka • Kubernetes • Docker • Git • PostgreSQL • Высоконагруженные системы;https://career.habr.com/vacancies/1000098280
Middle/Senior/Lead Python-разработчик;Бэкенд, Средний (Middle) • Python • PostgreSQL • Django • MongoDB • Redis • Kubernetes;https://career.habr.com/vacancies/1000100242
ML разработчик (Python/C++);Разработка ПО, Средний (Middle) • Python • Linux • Git • Docker • PostgreSQL • RabbitMQ • Высоконагруженные системы • Redis • ООП;https://career.habr.com/vacancies/1000101417
"Backend / Бэкэнд (python, DynamoDB; senior/mid; удаленно; компания в США)";Бэкенд, Старший (Senior) • Python • MongoDB;https://career.habr.com/vacancies/1000101989
Python-разработчик (Intelligent Search);Бэкенд, Старший (Senior) • Python • Django • PostgreSQL • Docker • Elasticsearch • Apache Kafka • Kubernetes • Git;https://career.habr.com/vacancies/1000094943
Lead Python Developer (Remote/Moscow);Бэкенд, Ведущий (Lead) • Python • Docker • MongoDB • Kubernetes • Django • Высоконагруженные системы;https://career.habr.com/vacancies/1000085955
Python-разработчик (Виртуальные персонажи);Бэкенд, Старший (Senior) • Python • Django • PostgreSQL • Docker • Git • RabbitMQ • RESTful API;https://career.habr.com/vacancies/1000094934
QA Automation (Python);Тестирование • Тестирование ПО • Автоматизация тестирования • Python • Linux • Selenium • Docker;https://career.habr.com/vacancies/1000076248
Senior Python Developer;Бэкенд, Старший (Senior) • Python • Docker • Ansible • CI/CD • Asyncio • Асинхронное программирование • AIOHTTP;https://career.habr.com/vacancies/1000102046
Python Backend Developer / WEB - разработчик;Бэкенд, Средний (Middle) • Python • Linux • Git • Bash • SQL • ООП • FastAPI • Kubernetes • Docker • Kubernetes;https://career.habr.com/vacancies/1000083464
Senior Backend Developer (Python);Бэкенд, Старший (Senior) • Python • Django • Docker • ООП • MySQL • SQL • Linux • Высоконагруженные системы • Kubernetes • Проектирование архитектуры приложений;https://career.habr.com/vacancies/1000101215
Middle Backend Developer (Python);Бэкенд, Средний (Middle) • Python • Docker • Django • Git • ООП • FastAPI • Оптимизация кода • Linux • Oracle • Kubernetes • PostgreSQL • API Интерфейсы;https://career.habr.com/vacancies/1000096566
Python-разработчик Pre Middle / Middle;Бэкенд, Средний (Middle) • Python • Django • ООП • SQL • Git • PHP • С++ builder • .NET • Flask;https://career.habr.com/vacancies/1000070222
Senior Python Developer (Американский инвестфонд);Бэкенд, Старший (Senior) • Python • Pandas • NumPy • AWS • CI/CD • GitLab • Flask • Английский язык;https://career.habr.com/vacancies/1000083857
Software Engineer (Python/cloud) Релокация в Армению;Бэкенд • Python • Облачные вычисления • NumPy • C++ • MySQL • AWS • API Интерфейсы;https://career.habr.com/vacancies/1000100989
Python/Golang developers to build analytics platform ;Бэкенд • Python • Django • Linux • Protobuf • MySQL • gRPC;https://career.habr.com/vacancies/1000096984
Middle Python Developer со знанием CS:GO;Бэкенд, Средний (Middle) • Django • Python • Flask • MongoDB • Docker • Git • Google Cloud Platform;https://career.habr.com/vacancies/1000100269
"Fullstack / Фуллстэк (python, react, senior/mid; удаленно; компания в США)";Разработка ПО, Старший (Senior) • Python • Redis • AWS;https://career.habr.com/vacancies/1000101990
Senior Python Backend Developer / WEB - разработчик;Бэкенд, Старший (Senior) • Python • Linux • Git • Bash • SQL • ООП • Английский язык;https://career.habr.com/vacancies/1000083466
Pуthon Back-end разработчик;Бэкенд • Python;https://career.habr.com/vacancies/1000100580
Главный аналитик по геоданным;Аналитика, Средний (Middle) • Python • SQL;https://career.habr.com/vacancies/1000100272
Senior/Middle Data Scientist;Аналитика, Средний (Middle) • Python;https://career.habr.com/vacancies/1000101231
Ведущий инженер-разработчик ПО;Бэкенд, Средний (Middle) • Python • Golang;https://career.habr.com/vacancies/1000097095
QA automation engineer;Тестирование, Старший (Senior) • Python;https://career.habr.com/vacancies/1000095570
QA Automation (Python);Тестирование, Средний (Middle) • SQL • Функциональное тестирование • Регрессионное тестирование • Ручное тестирование • Разработка тест-кейсов • Тестирование ПО;https://career.habr.com/vacancies/1000098712
Backend - разработчик Python (удаленная работа);Бэкенд, Средний (Middle) • AIOHTTP • PostgreSQL;https://career.habr.com/vacancies/1000101925
Инженер по системам мониторинга;Администрирование • Zabbix • Python;https://career.habr.com/vacancies/1000099524
Python Developer / DevOps / Эксперт автоматизации SOC;Бэкенд, Средний (Middle) • Python • Asyncio • Git • PostgreSQL • Redis • RESTful API • AIOHTTP • FastAPI • Linux • GitLab • CI/CD • Jenkins • Docker • Nginx • Apache Kafka • Elasticsearch • Ansible • Redis • Zabbix • Prometheus;https://career.habr.com/vacancies/1000101983
Software Development Engineer in Test (KasperskyOS);Разработка ПО • Python • Linux;https://career.habr.com/vacancies/1000100848
Software Development Engineer in Test;Разработка ПО • Linux • Python;https://career.habr.com/vacancies/1000101102
Системный архитектор (информационная безопасность);Информационная безопасность, Ведущий (Lead) • SIEM • McAfee DLP • Linux • Python • Python;https://career.habr.com/vacancies/1000100513
BI-разработчик;Аналитика, Средний (Middle) • SQL • Python • BI;https://career.habr.com/vacancies/1000101487
Data Engineer [МТС Медиа];Аналитика, Средний (Middle) • Python • SQL;https://career.habr.com/vacancies/1000101479
Data Engineer;Аналитика, Средний (Middle) • SQL • Python • Apache Hadoop;https://career.habr.com/vacancies/1000097705
Бэкенд-разработчик (Back-end developer);Бэкенд, Младший (Junior) • Python • Golang;https://career.habr.com/vacancies/1000085958
Разработчик ELK;Бэкенд, Средний (Middle) • ELK Stack • Java • Python;https://career.habr.com/vacancies/1000101570
ELK Программист;Бэкенд, Средний (Middle) • ELK Stack • Java • Python;https://career.habr.com/vacancies/1000101572
Архитектор (проектный офис B2B);Другое, Ведущий (Lead) • Linux • Python;https://career.habr.com/vacancies/1000098071
Инженер Linux (мобильная Астра);Разработка ПО, Старший (Senior) • Python • Linux • Git • Bash;https://career.habr.com/vacancies/1000100956
Team Lead разработки (Pyhton, BigData);Бэкенд, Ведущий (Lead) • Python • Большие данные;https://career.habr.com/vacancies/1000094233
Специалист по автоматизации тестирования, Логистика / Курьерская доставка;Тестирование, Средний (Middle) • Python • REST • SQL;https://career.habr.com/vacancies/1000100393
Специалист по сетевой безопасности;Информационная безопасность, Средний (Middle) • Python • Linux;https://career.habr.com/vacancies/1000101914
Аналитик данных (MY.GAMES);Аналитика, Старший (Senior) • SQL • Python;https://career.habr.com/vacancies/1000098266
Аналитик данных на проект по клиентскому опыту;Аналитика, Средний (Middle) • SQL • Python • ETL;https://career.habr.com/vacancies/1000095992
Специалист по автоматизации тестирования в myTarget;Тестирование • MySQL • Git • Python • Linux;https://career.habr.com/vacancies/1000097827
Разработчик (группа разработки инфраструктуры, команда разработки KasperskyOS);Разработка ПО • Python;https://career.habr.com/vacancies/1000101407
Разработчик (группа разработки инфраструктуры, команда разработки KasperskyOS);Разработка ПО • Python;https://career.habr.com/vacancies/1000101407
Go-разработчик: Managed Kubernetes;Бэкенд, Старший (Senior) • Golang • Python • SQL • Kubernetes;https://career.habr.com/vacancies/1000100927
Go-разработчик: (Identity and Access Management);Бэкенд, Старший (Senior) • Golang • SQL • Python • Kubernetes;https://career.habr.com/vacancies/1000100926
Разработчик на Pуthon Back-end;Бэкенд • Python • Pandas • NumPy;https://career.habr.com/vacancies/1000100638
Инженер-программист (Devops);Администрирование, Средний (Middle) • Linux • Python;https://career.habr.com/vacancies/1000101820
Разработчик встроенного ПО ;Разработка ПО, Средний (Middle) • Linux • Python;https://career.habr.com/vacancies/1000101818
Эксперт по информационной безопасности (anti-fraud);Информационная безопасность, Средний (Middle) • SQL • Python;https://career.habr.com/vacancies/1000091615
Эксперт в отдел безопасности разработки;Информационная безопасность, Средний (Middle) • Python;https://career.habr.com/vacancies/1000099634
Продуктовый аналитик, Оформление заказа / Доставка Маркетплейса;Аналитика, Средний (Middle) • Python • SQL;https://career.habr.com/vacancies/1000100395
Системный аналитик;Аналитика, Средний (Middle) • SQL • Python;https://career.habr.com/vacancies/1000101792
DevOps инженер ;Администрирование, Младший (Junior) • Linux • Kubernetes • Python • SQL • GitLab;https://career.habr.com/vacancies/1000101916
Auto QA engineer (МТС Вторая память);Тестирование, Средний (Middle) • Python • Автоматизация тестирования • Selenium • Mobile;https://career.habr.com/vacancies/1000102173
Research Engineer (Deep learning, DSP);Разработка ПО, Средний (Middle) • TensorFlow • Математика • PyTorch • Python • C++;https://career.habr.com/vacancies/1000101887
Data Engineer;Аналитика • Python • Apache Hadoop • DWH;https://career.habr.com/vacancies/1000089157
Ведущий инженер 3 линии технической поддержки (МТС Cashback);Поддержка, Старший (Senior) • Python • Linux • SQL • Bash;https://career.habr.com/vacancies/1000097751
DevOps Engineer (IDT);Администрирование • Python • Linux • Ansible • Kubernetes;https://career.habr.com/vacancies/1000098792
Software Development Engineer in Test;Тестирование • Автоматизация процессов • Python;https://career.habr.com/vacancies/1000095523
Software Engineer  (Лаборатория Робототехники Сбера);Разработка ПО, Средний (Middle) • Python • Linux • C++;https://career.habr.com/vacancies/1000100233
Разработчик С++;Бэкенд, Старший (Senior) • C++ • REST • Python;https://career.habr.com/vacancies/1000102084
 DBA/ Администратор баз данных;Администрирование, Средний (Middle) • MySQL • PostgreSQL • MongoDB • Python;https://career.habr.com/vacancies/1000100916
Разработчик ядра СУБД;Разработка ПО • SQL • Linux • Java • Python;https://career.habr.com/vacancies/1000101100
Инженер по сопровождению;Администрирование • SAP • Python • Agile • SQL;https://career.habr.com/vacancies/1000094476
Data / ML Engineer (Персонализация);Аналитика, Средний (Middle) • Python • SQL • Linux;https://career.habr.com/vacancies/1000077158
Инженер Linux (отдел разработки ОС);Разработка ПО • Linux • Git • Python • Bash;https://career.habr.com/vacancies/1000077062
Аналитик данных ;Аналитика • Python • SQL • Базы данных • Анализ данных;https://career.habr.com/vacancies/1000101542
Embedded engineer;Разработка ПО, Средний (Middle) • Python • C;https://career.habr.com/vacancies/1000101105
Data engineer (Big Data);Аналитика, Средний (Middle) • SQL • Python;https://career.habr.com/vacancies/1000096491
Инженер по автоматизации и поддержке;Администрирование, Старший (Senior) • Python • Kubernetes;https://career.habr.com/vacancies/1000101940
Software Development Engineer in Test;Тестирование • Автоматизация процессов • Python;https://career.habr.com/vacancies/1000098084
Fullstack Python+React developer;Разработка ПО, Старший (Senior) • Python • React;https://career.habr.com/vacancies/1000101423
QA Automation Engineer (Ruby) релокация в Сербию, Словакию;Тестирование, Средний (Middle) • Ruby • Python • Capybara • Appium • Git • RSpec • Docker;https://career.habr.com/vacancies/1000100425
ELK Разработчик;Бэкенд, Средний (Middle) • ELK Stack • Java • Python;https://career.habr.com/vacancies/1000101567
Automation Test Engineer;Тестирование • Автоматизация процессов • Python;https://career.habr.com/vacancies/1000098089
Developer C++ (Advanced Technologies and Performance Analysis);Разработка ПО • C++ • Python • Windows Azure • Linux;https://career.habr.com/vacancies/1000100315
Ведущий инженер сопровождения ИТ-систем;Администрирование • Python • Linux • Bash • Высоконагруженные системы;https://career.habr.com/vacancies/1000101965
Аналитик Data Scientist;Аналитика, Младший (Junior) • SQL • Python • Microsoft Excel • PowerBI;https://career.habr.com/vacancies/1000090946
DevOps-инженер (AI);Администрирование, Средний (Middle) • Python • Linux • Apache Hadoop;https://career.habr.com/vacancies/1000101264
Системный администратор (SRE);Администрирование, Средний (Middle) • Linux • Python • PostgreSQL;https://career.habr.com/vacancies/1000087161
С++ разработчик (проект Vision);Бэкенд • C++ • Python • Golang • Tarantool;https://career.habr.com/vacancies/1000100804
Системный администратор (VK Cloud Solutions);Администрирование, Средний (Middle) • Python • Linux;https://career.habr.com/vacancies/1000097510
Research Engineer (Kaspersky Fraud Prevention);Аналитика • Базы данных • Python;https://career.habr.com/vacancies/1000095200
Разработчик баз данных;Разработка ПО, Старший (Senior) • PostgreSQL • Python • PHP • Golang;https://career.habr.com/vacancies/1000059936
Разработчик ETL (NI-FI);Разработка ПО, Средний (Middle) • SQL • Python • Scala • Apache Kafka;https://career.habr.com/vacancies/1000100633
Разработчик в тестировании/SDET (Java);Тестирование, Средний (Middle) • Java • Python • Git • Selenium • AWS;https://career.habr.com/vacancies/1000101797
Инженер по сопровождению;Поддержка • Linux • Python • Bash;https://career.habr.com/vacancies/1000101203
Инженер Linux;Тестирование, Средний (Middle) • Linux • Python • Bash • Unix;https://career.habr.com/vacancies/1000079819
Research Developer (Advanced Technologies and Performance Analysis);Разработка ПО • C++ • Python • Linux;https://career.habr.com/vacancies/1000098309
QA Automation Engineer;Тестирование • Автоматизация процессов • Python • Linux;https://career.habr.com/vacancies/1000098000
DevOps Engineer;Администрирование, Средний (Middle) • Linux • Bash • Git • Python;https://career.habr.com/vacancies/1000086300
Разработчик BMC Remedy;Администрирование, Средний (Middle) • Linux • Базы данных • PostgreSQL • Python;https://career.habr.com/vacancies/1000100543
DWH developer;Разработка ПО, Средний (Middle) • Python • SQL • PostgreSQL • ETL • Linux;https://career.habr.com/vacancies/1000095000
Backend Developer;Бэкенд, Старший (Senior) • Java • Python • SQL • PostgreSQL • Golang;https://career.habr.com/vacancies/1000100771
Go разработчик (юнит Pricing);Бэкенд • Golang • Python • PostgreSQL • Kubernetes • Redis • Apache Kafka;https://career.habr.com/vacancies/1000099741
Продуктовый аналитик, Ozon Live и видео платформа / Социальная коммерция;Аналитика, Средний (Middle) • SQL • Python • Business intelligence • PowerBI;https://career.habr.com/vacancies/1000099431
Senior Data scientist;Аналитика, Старший (Senior) • Apache Spark • Python • SQL • Математическая статистика;https://career.habr.com/vacancies/1000094995
Разработчик BI, middle;Аналитика, Средний (Middle) • SQL • Python • ClickHouse • Tableau • PowerBI • QlikView;https://career.habr.com/vacancies/1000074972
Security engineer ;Информационная безопасность • Python • Linux • Bash • GitLab;https://career.habr.com/vacancies/1000096988
Инженер по оборудованию;Разработка ПО, Средний (Middle) • Python • Git • C++ • JavaScript;https://career.habr.com/vacancies/1000101366
DevOps инженер (Антифрод);Администрирование, Средний (Middle) • Kubernetes • Linux • Python • Docker;https://career.habr.com/vacancies/1000101336
Senior Data Scientist;Аналитика, Старший (Senior) • Python • Apache Hadoop • Apache Spark;https://career.habr.com/vacancies/1000102147
QA инженер (нагрузочное тестирование);Тестирование, Средний (Middle) • MySQL • Java • Python • Oracle;https://career.habr.com/vacancies/1000094770
Продуктовый аналитик;Аналитика, Средний (Middle) • SQL • Tableau • Python;https://career.habr.com/vacancies/1000098967
Testing Engineer (Cloud EDR);Тестирование • Ручное тестирование • Python • B2B;https://career.habr.com/vacancies/1000097876
Data Analyst / Аналитик данных;Аналитика, Средний (Middle) • Python • SQL • Анализ данных • Jira;https://career.habr.com/vacancies/1000086297
Data engineer;Аналитика, Средний (Middle) • Python • NumPy • Pandas • Linux;https://career.habr.com/vacancies/1000101252
DevOps Engineer;Разработка ПО • Python • Docker • CI/CD;https://career.habr.com/vacancies/1000097999
Devops инженер;Администрирование, Средний (Middle) • Linux • Java • Python • Git • Docker;https://career.habr.com/vacancies/1000100786
Senior Backend Developer (Django), релокация в Сербию, Словакию;Бэкенд, Старший (Senior) • Django • Python;https://career.habr.com/vacancies/1000100420
Data science инженер;Аналитика, Средний (Middle) • Linux • Python • Git • SQL;https://career.habr.com/vacancies/1000088289
Инженер по сопровождению;Тестирование • SQL • Linux • Python • Bash;https://career.habr.com/vacancies/1000098626
Главный Архитектор данных;Разработка ПО, Ведущий (Lead) • Python • Высоконагруженные системы • Apache Hadoop • Apache Kafka;https://career.habr.com/vacancies/1000098547
 Data scientist (модели оценки кредитного риска корп клиентов) ;Аналитика, Средний (Middle) • Python • SQL • Управление рисками;https://career.habr.com/vacancies/1000099882
Разработчик ядра СУБД;Разработка ПО • SQL • Linux • Java • Python;https://career.habr.com/vacancies/1000101101
SRE-devops engineer ;Администрирование, Средний (Middle) • Linux • Python • Docker • Администрирование Linux;https://career.habr.com/vacancies/1000098162
Backend разработчик;Бэкенд, Средний (Middle) • Python • SQL • Базы данных • Бизнес-консультирование;https://career.habr.com/vacancies/1000088001
Data Scientist;Аналитика, Средний (Middle) • Python • Математика • Математическая статистика;https://career.habr.com/vacancies/1000094486
Software Development Engineer in Test (DWH, Python);Тестирование • DWH;https://career.habr.com/vacancies/1000094201
Backend developer ;Бэкенд, Средний (Middle) • Linux • Python • Django • Flask • ООП;https://career.habr.com/vacancies/1000078926
QA automation engineer (Big Data);Тестирование, Средний (Middle) • Python • Git • SQL • Linux;https://career.habr.com/vacancies/1000096510
Аналитик данных;Аналитика • SQL • Python • Математика;https://career.habr.com/vacancies/1000100868
Разработчик инструментов DevOps;Бэкенд, Средний (Middle) • Linux • Python • Docker • Kubernetes;https://career.habr.com/vacancies/1000096376
Системный администратор Linux (Облако КРОК);Администрирование, Средний (Middle) • Python • Docker • Linux • MongoDB;https://career.habr.com/vacancies/1000100229
